id,date,venue_id,periods,status,season_id,home_team_id,away_team_id,home_goals,away_goals,score,model_predictions,odds_id,home_favor_goals_avg,home_against_goals_avg,away_favor_goals_avg,away_against_goals_avg,home_league_goals_avg,away_league_goals_avg,country,l_attack,l_defense,v_attack,v_defense,l_expected,v_expected,l0,v0,l1,v1,l2,v2,l3,v3,l4,v4,l5,v5,l6,v6,l7,v7,l8,v8,l_over,v_over,al0,al1,al2,al3,al4,al5,al6,al7,al8,av0,av1,av2,av3,av4,av5,av6,av7,av8,win,lose,draw,l_15,v_15,l_25,v_25,l_35,v_35,l_45,v_45,l_55,v_55,l_65,v_65,l_75,v_75,l_85,v_85
1336545,2025-02-04 01:30:00+00:00,20648.0,"{'first': 1738632600, 'second': 1738636200}","{'long': 'Match Finished', 'extra': None, 'short': 'FT', 'elapsed': 90}",239-2025,1464,1465,2.0,0.0,{},{},,2.0,0.0,0.0,2.0,1.3157894736842104,0.7894736842105263,Colombia,1.5200000000000002,0.0,0.0,2.533333333333333,5.066666666666666,0.0,0.006303396482417283,1.0,0.03193720884424757,0.0,0.08090759573876051,0.0,0.13664393946990663,0.0,0.17308232332854837,0.0,0.17539008763959568,0.0,0.14810718511788076,0.0,0.10720139113294228,0.0,0.06789421438419678,0.0,0.07253265786150409,0.0,0.006303396482417283,0.03824060532666485,0.11914820106542537,0.255792140535332,0.4288744638638804,0.6042645515034761,0.7523717366213569,0.8595731277542992,0.9274673421384959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936966035175826,0.0,0.006303396482417283,0.9617593946733352,0.0,0.8808517989345747,0.0,0.7442078594646679,0.0,0.5711255361361196,0.0,0.39573544849652387,0.0,0.24762826337864308,0.0,0.14042687224570083,0.0,0.07253265786150409,0.0
1336547,2025-02-07 23:00:00+00:00,,"{'first': 1738969200, 'second': 1738972800}","{'long': 'Match Finished', 'extra': 7, 'short': 'FT', 'elapsed': 90}",239-2025,1144,1139,0.0,0.0,{},{},,0.5,0.5,0.0,0.0,1.25,0.75,Colombia,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336554,2025-02-08 01:10:00+00:00,,"{'first': 1738977000, 'second': 1738980600}","{'long': 'Match Finished', 'extra': 3, 'short': 'FT', 'elapsed': 90}",239-2025,1142,1141,3.0,1.0,{},{},,2.5,0.5,0.5,1.5,1.3333333333333333,0.7619047619047619,Colombia,1.875,0.375,0.65625,1.96875,4.921875,0.1875,0.007285457798938988,0.8290291181804004,0.03585811260415283,0.15544295965882507,0.08824457398678236,0.014572777468014851,0.14477625419706483,0.0009107985917509282,0.1781426565315446,4.269368398832475e-05,0.1753591775232392,1.6010131495621785e-06,0.14384932531203218,5.003166092381808e-08,0.1011440568600226,1.340133774745127e-09,0.06222730060724048,3.140938534558892e-11,0.0631130845789819,6.666889262874065e-13,0.007285457798938988,0.043143570403091816,0.13138814438987417,0.276164398586939,0.45430705511848357,0.6296662326417228,0.773515557953755,0.8746596148137776,0.9368869154210181,0.8290291181804004,0.9844720778392254,0.9990448553072403,0.9999556538989912,0.9999983475829796,0.9999999485961292,0.9999999986277901,0.9999999999679239,0.9999999999993333,0.9850671146879598,0.001893413305369684,0.0130394720066704,0.9568564295969082,0.015527922160774588,0.8686118556101259,0.0009551446927597018,0.723835601413061,4.434610100878533e-05,0.5456929448815164,1.652417020436836e-06,0.37033376735827717,5.140387082658293e-08,0.22648444204624496,1.3722099012625222e-09,0.12534038518622237,3.207611953826017e-11,0.0631130845789819,6.666889262874065e-13
1336549,2025-02-08 19:00:00+00:00,,"{'first': 1739041200, 'second': 1739044800}","{'long': 'Match Finished', 'extra': 6, 'short': 'FT', 'elapsed': 90}",239-2025,1132,1464,2.0,2.0,{},{},,1.5,1.0,2.5,3.0,1.3636363636363635,0.8181818181818182,Colombia,1.1,0.7333333333333334,3.0555555555555554,3.6666666666666665,5.499999999999999,1.8333333333333337,0.004086771438464071,0.15987974607969385,0.022477242911552387,0.2931128678127721,0.06181241800676905,0.26868679549504115,0.11332276634574324,0.16419748613585852,0.15581880372539694,0.07525718114560183,0.17140068409793663,0.027594299753387345,0.15711729375644187,0.008431591591312803,0.12344930223720431,0.0022082739882009726,0.08487139528807794,0.0005060627889627229,0.10564332219241346,0.0001256952091686081,0.004086771438464071,0.026564014350016457,0.08837643235678551,0.20169919870252875,0.3575180024279257,0.5289186865258624,0.6860359802823043,0.8094852825195086,0.8943566778075865,0.15987974607969385,0.452992613892466,0.7216794093875072,0.8858768955233657,0.9611340766689676,0.9887283764223549,0.9971599680136677,0.9993682420018687,0.9998743047908314,0.8850450976111106,0.054387893763572566,0.06056700862531666,0.9734359856499836,0.547007386107534,0.9116235676432145,0.2783205906124928,0.7983008012974713,0.11412310447663432,0.6424819975720744,0.03886592333103245,0.4710813134741376,0.011271623577645107,0.3139640197176957,0.0028400319863323142,0.19051471748049142,0.0006317579981313104,0.10564332219241346,0.0001256952091686081
1336548,2025-02-08 23:20:00+00:00,387.0,"{'first': 1739056800, 'second': 1739060400}","{'long': 'Match Finished', 'extra': 7, 'short': 'FT', 'elapsed': 90}",239-2025,1465,1135,0.0,0.0,{},{},,0.0,0.0,0.0,0.0,1.2916666666666667,0.7916666666666666,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336546,2025-02-09 01:30:00+00:00,383.0,"{'first': 1739064600, 'second': 1739068200}","{'long': 'Match Finished', 'extra': 5, 'short': 'FT', 'elapsed': 90}",239-2025,1125,1134,2.0,1.0,{},{},,2.0,1.0,1.0,1.5,1.32,0.8,Colombia,1.5151515151515151,0.7575757575757576,1.25,1.875,3.75,0.7575757575757577,0.023517745856009107,0.46880153914023526,0.08819154696003415,0.35515268116684495,0.16535915055006403,0.13452753074501705,0.20669893818758003,0.03397159867298411,0.19378025455085626,0.006434014900186385,0.14533519091314223,0.0009748507424524826,0.09083449432071389,0.00012308721495612156,0.04866133624323958,1.3321127159753418e-05,0.022810001364018555,1.2614703749766495e-06,0.01481134105434223,1.148197887879121e-07,0.023517745856009107,0.11170929281604325,0.27706844336610725,0.48376738155368726,0.6775476361045435,0.8228828270176858,0.9137173213383997,0.9623786575816392,0.9851886589456578,0.46880153914023526,0.8239542203070802,0.9584817510520973,0.9924533497250815,0.9988873646252678,0.9998622153677204,0.9999853025826765,0.9999986237098363,0.9999998851802112,0.8903051208040316,0.036680683371160525,0.07301419582480789,0.8882907071839568,0.1760457796929198,0.7229315566338927,0.04151824894790268,0.5162326184463127,0.0075466502749185205,0.3224523638954565,0.0011126353747321627,0.17711717298231422,0.0001377846322796472,0.08628267866160033,1.4697417323517037e-05,0.03762134241836079,1.376290163723759e-06,0.01481134105434223,1.148197887879121e-07
1336555,2025-02-09 19:00:00+00:00,379.0,"{'first': 1739127600, 'second': 1739131200}","{'long': 'Match Finished', 'extra': 7, 'short': 'FT', 'elapsed': 90}",239-2025,1129,1128,0.0,1.0,{},{},,0.0,1.0,1.0,0.5,1.2692307692307692,0.8076923076923077,Colombia,0.0,0.787878787878788,1.2380952380952381,0.6190476190476191,0.0,0.787878787878788,1.0,0.45480851813219386,0.0,0.35833398398294064,0.0,0.14116187247812814,0.0,0.03707281499425588,0.0,0.00730222113523222,0.0,0.0011506530273699257,0.0,0.00015109585207887915,0.0,1.7006459541345704e-05,0.0,1.6748785911931377e-06,0.0,1.5905966788132275e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45480851813219386,0.8131425021151345,0.9543043745932627,0.9913771895875185,0.9986794107227508,0.9998300637501207,0.9999811596021996,0.999998166061741,0.9999998409403321,0.0,0.5451914818678061,0.45480851813219386,0.0,0.1868574978848655,0.0,0.04569562540673733,0.0,0.008622810412481474,0.0,0.0013205892772492067,0.0,0.0001699362498792656,0.0,1.884039780042368e-05,0.0,1.8339382590326636e-06,0.0,1.5905966788132275e-07
1336550,2025-02-09 21:10:00+00:00,384.0,"{'first': 1739135400, 'second': 1739139000}","{'long': 'Match Finished', 'extra': 6, 'short': 'FT', 'elapsed': 90}",239-2025,1136,1131,2.0,1.0,{},{},,2.0,1.0,0.5,1.5,1.2962962962962963,0.8148148148148148,Colombia,1.542857142857143,0.7714285714285715,0.6136363636363636,1.840909090909091,3.6818181818181825,0.38571428571428573,0.025177156546593114,0.6799647735788938,0.09269771273972921,0.2622721269518591,0.17064806208904698,0.05058105305500139,0.20943171256383042,0.00650327824992875,0.19277237179170761,0.0006271018312431295,0.14195056468298473,4.837642698161286e-05,0.08710602832819518,3.1099131631036837e-06,0.04581550840638838,1.7136256204857032e-07,0.021085546482485566,8.262123527341786e-09,0.01331533636903881,3.6824343574437535e-10,0.025177156546593114,0.11787486928632232,0.28852293137536933,0.49795464393919975,0.6907270157309073,0.8326775804138921,0.9197836087420872,0.9655991171484756,0.9866846636309612,0.6799647735788938,0.9422369005307529,0.9928179535857543,0.9993212318356831,0.9999483336669263,0.9999967100939079,0.999999820007071,0.999999991369633,0.9999999996317566,0.9336565238850096,0.014790285006330884,0.05155319110865943,0.8821251307136777,0.05776309946924707,0.7114770686246307,0.007182046414245691,0.5020453560608003,0.0006787681643168897,0.30927298426909267,5.166633307374102e-05,0.16732241958610794,3.289906092107664e-06,0.0802163912579128,1.799929290058344e-07,0.03440088285152443,8.630366976625226e-09,0.01331533636903881,3.6824343574437535e-10
1336552,2025-02-10 01:30:00+00:00,380.0,"{'first': 1739151000, 'second': 1739154600}","{'long': 'Match Finished', 'extra': 4, 'short': 'FT', 'elapsed': 90}",239-2025,1137,1462,3.0,0.0,{},{},,3.5,0.0,0.5,2.5,1.3448275862068966,0.7586206896551724,Colombia,2.6025641025641026,0.0,0.6590909090909092,3.2954545454545454,11.534090909090908,0.0,9.790569719496461e-06,1.0,0.00011292532119646486,0.0,0.000651245460309158,0.0,0.002503841447779528,0.0,0.007219883720159719,0.0,0.01665495903627753,0.0,0.03201663526860169,0.0,0.052754683113036875,0.0,0.07605966386325627,0.0,0.8120163721996633,0.0,9.790569719496461e-06,0.00012271589091596133,0.0007739613512251194,0.0032778027990046474,0.010497686519164367,0.027152645555441897,0.05916928082404359,0.11192396393708046,0.18798362780033673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999902094302804,0.0,9.790569719496461e-06,0.999877284109084,0.0,0.9992260386487749,0.0,0.9967221972009953,0.0,0.9895023134808356,0.0,0.972847354444558,0.0,0.9408307191759564,0.0,0.8880760360629195,0.0,0.8120163721996633,0.0
1336565,2025-02-12 00:30:00+00:00,,"{'first': 1739320200, 'second': 1739323800}","{'long': 'Match Finished', 'extra': 6, 'short': 'FT', 'elapsed': 90}",239-2025,1464,1125,2.0,2.0,{},{},,2.0,1.0,1.5,1.0,1.3666666666666667,0.8,Colombia,1.4634146341463414,0.7317073170731707,1.875,1.25,2.5,1.097560975609756,0.0820849986238988,0.33368395529388006,0.205212496559747,0.3662384875176732,0.25651562069968376,0.2009845358328694,0.21376301724973645,0.07353092774373271,0.13360188578108528,0.020176169197975435,0.06680094289054264,0.004428915189799485,0.02783372620439277,0.0008101674127681984,0.009940616501568847,0.00012702973370929936,0.0031064426567402642,1.7427859807678266e-05,0.001140252832604327,2.3842177846455925e-06,0.0820849986238988,0.2872974951836458,0.5438131158833295,0.7575761331330659,0.8911780189141512,0.9579789618046938,0.9858126880090865,0.9957533045106554,0.9988597471673957,0.33368395529388006,0.6999224428115532,0.9009069786444226,0.9744379063881553,0.9946140755861308,0.9990429907759303,0.9998531581886985,0.9999801879224077,0.9999976157822154,0.6792185284357593,0.14794514470505862,0.17283632685918232,0.7127025048163542,0.30007755718844675,0.4561868841166705,0.0990930213555774,0.24242386686693407,0.025562093611844694,0.10882198108584884,0.005385924413869203,0.042021038195306226,0.0009570092240697159,0.014187311990913498,0.00014684181130153462,0.004246695489344643,1.981207759227388e-05,0.001140252832604327,2.3842177846455925e-06
